name,status,value,detail
"required_columns","PASS","[]","All required source fields must be present."
"raw_row_count","PASS","27800","Supplied project extract is expected to contain 27,800 rows."
"required_value_nulls","PASS","0","Null cells across required source fields."
"date_parsing","PASS","0","Rows whose date could not be parsed."
"calendar_date_coverage","WARNING","['2025-03-14', '2025-03-25', '2025-07-11', '2025-08-13']","Missing dates are reported; they are not imputed."
"multiple_snapshots_per_date","WARNING","{'2025-03-01': 2}","Snapshot boundaries are inferred from source-order resets to position 1."
"march_1_reconstruction","PASS","['2025-03-01__1', '2025-03-01__2']","The 100-row date must reconstruct as two complete Top-50 snapshots."
"position_domain","PASS","0","Positions must be integers from 1 to 50."
"snapshot_row_counts","PASS","{}","Each valid snapshot must contain 50 rows."
"duplicate_snapshot_positions","PASS","0","Each expected position may occur once per snapshot."
"missing_snapshot_positions","PASS","{}","Missing ranks within reconstructed snapshots."
"exact_source_duplicates","WARNING","12","Repeated complete source rows are retained when they belong to different inferred snapshots."
"duplicate_recordings_within_snapshot","PASS","0","Repeated recording proxies inside one snapshot require review."
"album_type_domain","PASS","[]","Unexpected release-format values."
"explicit_content_domain","PASS","[]","Explicit flag must be boolean."
"positive_duration","PASS","0","Zero or negative duration values."
"positive_total_tracks","PASS","0","Invalid parent-release track counts."
"popularity_bounds","PASS","0","Popularity must be between 0 and 100."
"artist_parsing","PASS","0","Entries with no parsed credited artist."
"empty_collaborator_arrays","PASS","0","Chart entries without a credited-artist array."
"nationality_coverage","WARNING","0.7","Manual nationality mapping is incomplete by design; unclassified artists remain explicit."
"recording_metadata_stability","WARNING","{'song': 3, 'credited_artist_set': 25, 'duration_ms': 0, 'album_type': 48, 'total_tracks': 59, 'is_explicit': 11, 'credited_artist_set_on_title_duration_key': 25}","Recording-proxy metadata can legitimately vary across repeated chart observations; the proxy identity remains title + exact duration."
"title_collisions","WARNING","33","Normalised song titles associated with multiple exact durations."
"fractional_artist_weights","PASS","0.0","Fractional artist weights for each chart entry must reconcile to 1.0."
"output_row_consistency","PASS","{'raw': 27800, 'processed': 27800, 'artist_credits': 34492, 'recordings': 833}","Raw and processed row counts must reconcile; derived grains are reported separately."
